구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,0.9534724598015737,0.6613856703712462,77.728285077951,4.008908685968819,2.2271714922048997,100.0,100.0,549255,3238,0.8945402534855443,90.79738324803988
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,78.84615384615384,5.128205128205128,1.9230769230769231,100.0,100.0,434992,1010,0.22331025385578157,91.4154810706535
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.12692439274717754,0.2747694490423268,82.35294117647058,8.49673202614379,5.228758169934641,100.0,100.0,324276,831,0.2989492673125259,94.67084639498432
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5620937393089291,0.42823362497044226,69.0625,4.375,2.5,100.0,100.0,521685,2109,0.5227334956846023,88.23079937304075
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,91.66666666666666,10.833333333333334,1.6666666666666667,100.0,100.0,369999,878,0.4068875217791357,97.25705329153604
구로구,0.515850144092219,0.588235294117647,0.5,0.43516934656175155,0.35942303144951526,58.362989323843415,3.9145907473309607,2.135231316725979,100.0,100.0,439234,1884,0.4797355632442265,84.54578922120952
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,80.79470198675497,3.9735099337748347,2.6490066225165565,100.0,100.0,252359,1348,0.1179734153526947,91.9014303805352
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.3865891207663359,0.2922676755734216,61.42131979695431,3.5532994923857872,5.0761421319796955,100.0,100.0,551069,1566,0.3473891475936564,86.34851932593925
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,9.803921568627452,2.941176470588235,100.0,100.0,342990,825,0.06372549019607843,100.0
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.3140608963393773,0.25088673445258924,84.39306358381504,7.514450867052023,2.8901734104046244,100.0,100.0,366101,1870,0.298029363418946,94.26132966097089
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2743756414642491,0.10002364625206905,48.771929824561404,1.7543859649122806,1.7543859649122806,100.0,100.0,407925,1302,0.27741418539544194,80.6665566738162
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.353747930952944,84.01360544217688,3.4013605442176873,2.7210884353741496,100.0,100.0,385032,980,0.4893816603628639,92.77077602200755
서대문구,0.1498559077809798,0.0,0.0,0.25624358535750935,0.13454717427287777,80.51948051948052,2.5974025974025974,1.2987012987012987,100.0,100.0,322497,1254,0.10812933348227338,90.94166022065708
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5378036264112214,0.21565381886970914,63.358778625954194,1.5267175572519083,1.5267175572519083,100.0,100.0,441539,2297,0.4654736555250791,85.18509655651009
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.18611016079370513,0.029557815086308836,94.44444444444444,6.349206349206349,3.1746031746031744,100.0,100.0,317197,1327,0.1373586050646845,97.19361098671445
성북구,0.13832853025936598,0.0,0.24999999999999997,0.24700650017105708,0.1707259399385198,82.66666666666667,2.666666666666667,3.3333333333333335,100.0,100.0,449574,1651,0.16121219407378856,92.30094043887148
송파구,0.340057636887608,0.4705882352941176,0.75,0.7444406431748204,0.42752423740837076,80.9090909090909,4.545454545454546,4.545454545454546,100.0,100.0,673582,1081,0.5465221505529834,92.72727272727272
양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,0.9999999999999999,1.0,77.4869109947644,4.18848167539267,3.4031413612565444,100.0,100.0,469945,2482,0.8594225009888682,91.15363784076548
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6503592199794731,0.4930243556396311,62.03389830508475,6.779661016949152,4.067796610169491,100.0,100.0,403724,1277,0.7399159082073943,87.25359970246002
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.16900444748546017,0.13312839914873498,89.17525773195877,7.216494845360824,2.5773195876288657,100.0,100.0,245087,2096,0.26933485886743913,95.59512652296156
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.2911392405063291,0.27571529912508874,84.93975903614458,3.614457831325301,1.8072289156626504,100.0,100.0,487849,2108,0.21398400619152627,92.84284473316463
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651932,76.30331753554502,4.265402843601896,2.3696682464454977,100.0,100.0,163086,1619,0.31489888626305396,90.4693280244841
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5080396852548751,0.1742728777488768,65.29411764705883,3.5294117647058822,1.1764705882352942,100.0,100.0,135258,1023,0.2393810863703158,86.33228840125392
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.36674649332877174,0.32158902813904,79.14438502673798,4.81283422459893,6.417112299465241,100.0,100.0,409058,916,0.44058002738787205,92.84696494727842
